TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
37736,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
37786,311,334.6480,176.0392,0.0334,---,338.8417,194.5848,0.1289, 6.5015
37786,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
37836,311,334.6480,176.0392,0.0334,---,338.8418,194.3497,0.1289, 6.5660
37836,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
37886,311,334.6480,176.0392,0.0334,---,338.8420,194.1146,0.1289, 6.6541
37886,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
37936,311,334.6480,176.0392,0.0334,---,338.8421,193.8795,0.1289, 6.7434
37936,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3623
37986,311,334.6480,176.0392,0.0334,---,338.8423,193.6443,0.1289, 6.4761
37986,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 5.5274
38036,311,334.6480,176.0392,0.0334,---,338.8424,193.4092,0.1289, 6.5590
38036,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 5.5274
38086,311,334.6480,176.0392,0.0334,---,338.8425,193.1740,0.1289, 6.6153
38086,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3630
38136,311,334.6480,176.0392,0.0334,---,338.8427,192.9388,0.1289, 6.6969
38136,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
38186,311,334.6480,176.0392,0.0334,---,338.8428,192.7036,0.1289, 6.6462
38186,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.2474
38236,311,334.6480,176.0392,0.0334,---,338.8429,192.4684,0.1289, 6.7080
38236,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
38286,311,334.6480,176.0392,0.0334,---,338.8429,192.2332,0.1289, 6.6623
38286,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
38336,311,334.6480,176.0392,0.0334,---,338.8430,191.9980,0.1289, 6.6543
38336,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
38386,311,334.6480,176.0392,0.0334,---,338.8430,191.7627,0.1289, 6.7382
38386,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3630
38436,311,334.6480,176.0392,0.0334,---,338.8430,191.5275,0.1289, 6.5133
38436,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 5.5274
38486,311,334.6480,176.0392,0.0334,---,338.8430,191.2922,0.1289, 6.2187
38486,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3623
38536,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3623
38536,311,334.6480,176.0392,0.0334,---,338.8430,191.0569,0.1289, 6.3007
38586,311,334.6480,176.0392,0.0334,---,338.8430,190.8216,0.1289, 6.3630
